n,time
100,5.37e-05
200,7.16e-05
300,9.09e-05
400,0.0001063
500,0.0001592
600,0.0002015
700,0.0001658
800,0.0001919
900,0.0001883
1000,0.00028
1100,0.0003176
1200,0.0002409
1300,0.0003517
1400,0.0003756
1500,0.0004052
1600,0.0004105
1700,0.0003281
1800,0.0004486
1900,0.0003581
2000,0.0004763
2100,0.0005276
2200,0.0005678
2300,0.0005768
2400,0.0006769
2500,0.0004938
2600,0.0006522
2700,0.0005123
2800,0.0005686
2900,0.0007503
3000,0.0008697
3100,0.0007672
3200,0.0009383
3300,0.0008055
3400,0.0009046
3500,0.0009857
3600,0.0008371
3700,0.00084
3800,0.0008613
3900,0.0009473
4000,0.000952
4100,0.001019
4200,0.0009839
4300,0.0010658
4400,0.0011329
4500,0.0012039
4600,0.0010753
4700,0.0008311
4800,0.000836
4900,0.0009837
5000,0.0020339
5100,0.0016138
5200,0.0013881
5300,0.0013424
5400,0.0014467
5500,0.001217
5600,0.001235
5700,0.0014339
5800,0.0014884
5900,0.0014398
6000,0.001391
6100,0.0013234
6200,0.0015126
6300,0.0014888
6400,0.0014779
6500,0.0014447
6600,0.0014419
6700,0.0014608
6800,0.0016328
6900,0.0018499
7000,0.0015999
7100,0.0015711
7200,0.0016595
7300,0.0015074
7400,0.0015699
7500,0.0015503
7600,0.0016161
7700,0.0016898
7800,0.0019995
7900,0.0016306
8000,0.0017777
8100,0.0021444
8200,0.0020166
8300,0.0019129
8400,0.001883
8500,0.0021772
8600,0.0027307
8700,0.0022736
8800,0.001955
8900,0.002075
9000,0.0019098
9100,0.0014884
9200,0.0014348
9300,0.0018224
9400,0.0015494
9500,0.0023064
9600,0.0015932
9700,0.0015948
9800,0.0015558
9900,0.0016323
10000,0.0017313
